id,nombre,sup_id,sup_nombre,tipo,precio_venta_1y,superficie_venta_1y,elasticidad_1y,precio_alquiler_1y,rentabilidad_1y,grow_acu_alquiler_1y,grow_acu_venta_1y,grow_acu_superficie_venta_1y,precio_venta_5y,superficie_venta_5y,elasticidad_5y,precio_alquiler_5y,rentabilidad_5y,grow_acu_alquiler_5y,grow_acu_venta_5y,grow_acu_superficie_venta_5y,precio_venta_10y,superficie_venta_10y,elasticidad_10y,precio_alquiler_10y,rentabilidad_10y,grow_acu_alquiler_10y,grow_acu_venta_10y,grow_acu_superficie_venta_10y,elasticidad_1y_stars,rentabilidad_1y_stars,grow_acu_alquiler_1y_stars,grow_acu_venta_1y_stars,elasticidad_5y_stars,rentabilidad_5y_stars,grow_acu_alquiler_5y_stars,grow_acu_venta_5y_stars,elasticidad_10y_stars,rentabilidad_10y_stars,grow_acu_alquiler_10y_stars,grow_acu_venta_10y_stars
80844,vilapicina i la torre llobeta,80800,nou barris,barri,3278.75,566.0,-0.3142,14.265,0.0522,-0.10751565762004175,0.032352015113350126,-0.045409613246015175,2922.27,1573.9,0.0166,12.942,0.0532,-0.022200404960490694,0.09030890092467658,0.6267443970965354,2647.1305,2158.3389,inf,11.9773,0.0547,0.07361763800853297,0.13756716897745214,14.349028081332635,1,2,2,4,1,2,2,3,2,2,2,2
80845,porta,80800,nou barris,barri,2817.5,1103.0,-0.1088,13.57,0.0578,-0.1244085495186817,-0.0065590510977573905,0.19429121793187995,2677.0682,1775.6875,-inf,12.602,0.0566,-0.05612984731057884,-0.004489046372993315,3.2155984527316224,2477.9652,1882.4611,-inf,11.7078,0.0569,0.16678620932258031,0.2690823528575401,16.67652526605338,1,3,2,3,1,3,1,3,2,2,3,3
80846,el turo de la peira,80800,nou barris,barri,2431.4444,4388.0,-0.0257,13.805,0.0681,-0.16105866214798678,0.01947356161192635,-0.6000692410859542,2294.3046,2058.7667,0.4349,12.3245,0.0647,-0.01814276095782341,0.16527142321591673,9.603598947413454,2095.4307,1327.2593,inf,11.3218,0.0652,0.17397763841857197,0.3458367293813836,12.806315893767884,1,4,1,4,2,3,2,4,2,3,3,3
80847,can peguera,80800,nou barris,barri,2467.7778,26275.75,0.0299,13.16,0.064,-0.10670655696833702,-0.008526405071202158,-0.3909988594753586,2548.0,151.75,-0.092,12.339,0.0643,-0.06398457023951956,-0.012858784512187749,0.05058072009291526,2219.0,132.8,-inf,9.302,0.0746,0.09202975319043837,-0.004870576425438006,-0.09299983712337584,2,5,3,1,1,5,1,3,2,4,2,2
80848,la guineueta,80800,nou barris,barri,2569.8571,2001.6667,-0.2906,11.6,0.0542,-0.17359413202933976,-0.016510852331747927,-0.6079079330397433,2433.7894,1772.7867,-0.4599,11.01,0.0545,-0.07067840443568521,0.0096983948274596,12.860814048905713,2275.5821,1767.4933,-0.1701,10.2085,0.054,0.011158134997065278,0.075225554280447,15.88419517613508,1,3,1,3,1,2,1,3,2,2,2,2
80849,canyelles,80800,nou barris,barri,2296.0,724.0,0.044,10.07,0.0526,-0.1291440626883666,-0.06438467807660962,0.05842653297338989,2100.7976,870.6,-0.1254,9.9968,0.0573,-0.004941836435420038,-0.15996946368016568,6.060527670761389,1913.3288,615.1296,inf,9.3144,0.0586,0.10747074653751512,-0.13762109289822855,9.687912983718613,1,2,2,3,1,3,2,2,2,2,2,1
80850,les roquetes,80800,nou barris,barri,2191.0,445.0,-0.1124,13.925,0.0763,-0.16572822822822833,0.07665847665847667,-0.2557986390575839,2010.5024,1816.05,-0.0026,12.624,0.0755,-0.042746844101401754,0.26336303878126194,4.465867032267127,1819.5777,1760.4537,inf,11.4092,0.0757,0.11389536475083642,0.5132582861529138,6.37406810623198,1,5,1,4,1,4,2,5,2,4,2,4
80851,verdun,80800,nou barris,barri,2356.7778,506.3333,-0.1977,13.435,0.0684,-0.08942786069651747,-0.05804245492494891,-0.065,2205.7416,725.5333,0.8814,12.8915,0.0703,-0.03740235694531086,-0.10838463156017511,0.14684950844282538,2050.7029,803.2417,0.4239,11.8938,0.0699,0.11786679790819783,0.0037275072309830085,2.2691960497523924,1,4,2,3,2,4,2,2,2,3,3,2
80852,la prosperitat,80800,nou barris,barri,2589.5556,980.0,0.1669,13.81,0.064,-0.146819870009285,-0.0009430727023319226,0.07018970189701887,2459.2111,807.1833,-0.3789,12.947,0.0633,-0.09427942914531484,-0.03447561151180414,1.5418088463415005,2257.404,2168.3167,-0.2468,11.995,0.0641,0.057278533977654034,0.07476121010771551,6.5761541797911836,1,3,1,4,1,3,1,3,2,3,2,2
80853,la trinitat nova,80800,nou barris,barri,2099.6667,625.5,0.0253,14.815,0.0847,-0.17491828494520278,-0.07632960222601663,-0.46770458167856926,1943.8539,2046.9,-0.083,12.915,0.08,-0.09800295545186906,0.05265113042019369,0.1005483212375668,1752.8307,1563.85,-0.0824,11.6898,0.0802,0.04423844111027317,0.40310543300988394,0.6519060781958197,1,5,1,3,1,5,1,3,2,4,2,3
