link,type_v,address,town,price,rooms,surface,info,description,price_old,tags,agent,created,disponibilidad,barrio,barrio_ratio,id,nombre,sup_id,sup_nombre,tipo,precio_venta_1y,superficie_venta_1y,elasticidad_1y,precio_alquiler_1y,rentabilidad_1y,grow_acu_alquiler_1y,grow_acu_venta_1y,grow_acu_superficie_venta_1y,precio_venta_5y,superficie_venta_5y,elasticidad_5y,precio_alquiler_5y,rentabilidad_5y,grow_acu_alquiler_5y,grow_acu_venta_5y,grow_acu_superficie_venta_5y,precio_venta_10y,superficie_venta_10y,elasticidad_10y,precio_alquiler_10y,rentabilidad_10y,grow_acu_alquiler_10y,grow_acu_venta_10y,grow_acu_superficie_venta_10y,elasticidad_1y_stars,rentabilidad_1y_stars,grow_acu_alquiler_1y_stars,grow_acu_venta_1y_stars,elasticidad_5y_stars,rentabilidad_5y_stars,grow_acu_alquiler_5y_stars,grow_acu_venta_5y_stars,elasticidad_10y_stars,rentabilidad_10y_stars,grow_acu_alquiler_10y_stars,grow_acu_venta_10y_stars,global_score_stars,precio_m2,precio_desv_media,precio_venta_stars,precio_alquiler_estimado,precio_venta_estimado
https://www.idealista.com/inmueble/102533819/,piso,"avenida dels rasos de peguera, ciutat meridiana  torre baro  vallbona, barcelona",,57700.0,3.0,70.0,"['3 hab.', '70 m²', ' sin ascensor']","piso en la calle rasos de peguera de la barriada de san andres de palomar, barcelona. tiene una superficie aproximada de 62,70 m2. el inmueble se encuentra ocupado ilegalmente por terceros y sin los suministros debidamente contratados. el inmueble se transmitira: (i) como cuerpo cierto y a tanto alzado (ii) como un t",,[],,2025-02-03 15:47:57,ocupada,el turo de la peira,0.5416666666666666,80846.0,el turo de la peira,80800.0,nou barris,barri,2431.0,4388.0,-0.0257,13.0,0.0681,-0.1611,0.0195,-0.6001,2294.0,2058.0,0.4349,12.0,0.0647,-0.0181,0.1653,9.6036,2095.0,1327.0,inf,11.0,0.0652,0.174,0.3458,12.8063,1.0,4.0,1.0,4.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,2.6,824.0,0.34,4.0,910.0,170170.0
https://www.idealista.com/inmueble/104363395/,piso,"calle d'en sant climent, el raval, barcelona",,84100.0,2.0,55.0,"['2 hab.', '55 m²', ' sin ascensor']","vivienda situada en barcelona, con frente a la calle salvador. de superficie cincuenta y cinco metros cuarenta y cinco decimetros cuadrados. el inmueble se transmite arrendado a tercero y con un posible derecho de este a la adquisicion preferente del mismo. el inmueble se transmitira: (i) como cuerpo cierto y a tanto",,[],,2025-02-03 15:47:57,alquilada,el raval,1.0,80101.0,el raval,80100.0,ciutat vella,barri,3007.0,11779.0,-inf,15.0,0.0632,-0.1448,0.0046,-0.2258,3034.0,2250.0,0.0482,14.0,0.0584,-0.1466,0.1385,-0.3722,2919.0,5179.0,0.0378,13.0,0.0575,-0.0235,0.3742,9.2588,1.0,3.0,2.0,4.0,2.0,3.0,1.0,4.0,3.0,2.0,2.0,3.0,2.7,1529.0,0.51,3.0,825.0,165385.0
https://www.idealista.com/inmueble/102842179/,piso,"calle de les agudes, ciutat meridiana  torre baro  vallbona, barcelona",,60000.0,3.0,49.0,"['3 hab.', '49 m²', 'Planta 3ª sin ascensor']","vivienda piso en un edificio residencial en la ciudad de barcelona. tiene una superficie aproximada de 47 m2. y esta distribuido en salon comedor, tres dormitorios, bano completo con banera y cocina semi amueblada con muebles altos y bajos lacados en color blanco. la vivienda cuenta con puerta de entrada blindada norma",,"['semi amueblada', 'entrada blindada']",,2025-02-01 12:22:16,disponible,sant genis dels agudells,0.6511627906976745,80739.0,sant genis dels agudells,80700.0,horta guinardo,barri,2960.0,287.0,-1.9914,10.0,0.044,-0.0194,-0.2551,-0.2145,2267.0,487.0,-0.3556,10.0,0.0598,0.0573,0.0195,3.3923,2077.0,958.0,inf,10.0,0.06,0.1558,-0.2203,3.2054,1.0,2.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,2.6,1224.0,0.41,3.0,490.0,145040.0
https://www.idealista.com/inmueble/103879319/,piso,"calle de joaquin costa, el raval, barcelona",,78800.0,1.0,40.0,"['1 hab.', '40 m²', ' sin ascensor']","este encantador piso de 40m2, ubicado en un historico edificio del ano 1860 de siete plantas, te ofrece la combinacion perfecta de tradicion y modernidad. con una distribucion inteligente de 33m2 utiles, este hogar cuenta con un dormitorio acogedor y un bano completo, ideal para parejas o profesionales que buscan comod",,[],,2025-02-03 15:47:57,disponible,el raval,1.0,80101.0,el raval,80100.0,ciutat vella,barri,3007.0,11779.0,-inf,15.0,0.0632,-0.1448,0.0046,-0.2258,3034.0,2250.0,0.0482,14.0,0.0584,-0.1466,0.1385,-0.3722,2919.0,5179.0,0.0378,13.0,0.0575,-0.0235,0.3742,9.2588,1.0,3.0,2.0,4.0,2.0,3.0,1.0,4.0,3.0,2.0,2.0,3.0,2.7,1970.0,0.66,3.0,600.0,120280.0
https://www.idealista.com/inmueble/102533814/,piso,"calle de perafita, ciutat meridiana  torre baro  vallbona, barcelona",,64000.0,3.0,60.0,"['3 hab.', '60 m²', ' sin ascensor']","vivienda ubicada en la barriada de sant andres de palomar de barcelona, en la calle perafita. tiene una superficie edificada de sesenta metros nueve decimetros cuadrados, y util de cincuenta y dos metros dieciocho decimetros cuadrados. el inmueble se encuentra ocupado ilegalmente por terceros y sin los suministros de",,[],,2025-02-03 15:47:57,ocupada,la vila de gracia,0.5882352941176471,80631.0,la vila de gracia,80600.0,gracia,barri,4701.0,2757.0,-0.0994,18.0,0.0463,-0.1499,-0.0243,-0.451,4286.0,8520.0,-0.0267,16.0,0.0452,-0.0908,0.0732,4.1878,3913.0,7505.0,-0.0748,15.0,0.0469,0.0359,0.4847,6.9197,1.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,4.0,2.8,1066.0,0.23,5.0,1080.0,282060.0
https://www.idealista.com/inmueble/102902348/,piso,"calle de travau, can peguera  el turo de la peira, barcelona",,50800.0,2.0,34.0,"['2 hab.', '34 m²', ' sin ascensor']","excelente piso de dos dormitorios y un bano. se encuentra en la planta baja de un edificio residencial de cuatro plantas sobre rasante. sin ascensor. situado en el municipio de barcelona. la vivienda se distribuye en dos dormitorios, amplio salon comedor, cocina independiente, un cuarto de bano y patio. la superficie c",,"['patio', 'sin ascensor']",,2025-02-03 15:47:57,disponible,la vila de gracia,0.5625,80631.0,la vila de gracia,80600.0,gracia,barri,4701.0,2757.0,-0.0994,18.0,0.0463,-0.1499,-0.0243,-0.451,4286.0,8520.0,-0.0267,16.0,0.0452,-0.0908,0.0732,4.1878,3913.0,7505.0,-0.0748,15.0,0.0469,0.0359,0.4847,6.9197,1.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,4.0,3.2,1494.0,0.32,4.0,612.0,159834.0
https://www.idealista.com/inmueble/102769004/,piso,"calle d'aiguablava, la trinitat nova, barcelona",,58800.0,2.0,45.0,"['2 hab.', '45 m²', ' sin ascensor']",piso de 45 m2 situado en edificio de 5 plantas sobre rasante ubicado en la ciudad de barcelona provincia de barcelona. construido en el ano 1963 no dispone de ascensor se encuentra situado en zona urbana bien comunicada y rodeada de viviendas de similares caracteristicas con todos los servicios cercanos y accesibles.,,['de ascensor'],,2025-02-03 15:47:57,disponible,la trinitat nova,1.0,80853.0,la trinitat nova,80800.0,nou barris,barri,2099.0,625.0,0.0253,14.0,0.0847,-0.1749,-0.0763,-0.4677,1943.0,2046.0,-0.083,12.0,0.08,-0.098,0.0527,0.1005,1752.0,1563.0,-0.0824,11.0,0.0802,0.0442,0.4031,0.6519,1.0,5.0,1.0,3.0,1.0,5.0,1.0,3.0,2.0,4.0,2.0,3.0,3.1,1306.0,0.62,3.0,630.0,94455.0
https://www.idealista.com/inmueble/102610051/,piso,"calle albania, el besos, barcelona",,68200.0,3.0,56.0,"['3 hab.', '56 m²', ' sin ascensor']","vivienda sita en la calle albania, de barcelona. tiene una superficie de cuarenta y seis metros sesenta y ocho decimetros cuadrados, distribuidos en una sola planta que se compone de ingreso, cocina comedor, tres dormitorios, aseo y terraza con lavadero. el inmueble ha sido adquirido a traves de un procedimiento judi",,"['terraza', 'lavadero']",,2025-02-03 15:47:57,disponible,el poblenou,0.631578947368421,81068.0,el poblenou,81000.0,sant marti,barri,4577.0,2220.0,0.7777,18.0,0.0495,-0.1266,-0.014,-0.2634,4180.0,2194.0,0.063,16.0,0.0474,-0.054,0.0231,-0.586,3773.0,4227.0,-0.0036,15.0,0.0482,0.1468,0.1281,10.9768,1.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,3.3,1217.0,0.27,4.0,1008.0,256312.0
https://www.idealista.com/inmueble/102951426/,piso,"via favencia, verdun, barcelona",,72600.0,1.0,53.0,"['1 hab.', '53 m²', ' sin ascensor']","vivienda en el municipio de barcelona, provincia de barcelona. el inmueble se encuentra en una zona tranquila, rodeado por viviendas residenciales de similares caracteristicas. cuenta con facil acceso a la carretera y otros nudos de comunicacion. cercano a establecimientos y comercios de la zona. el inmueble ha sido",,[],,2025-02-03 15:48:02,disponible,la vila de gracia,0.5517241379310345,80631.0,la vila de gracia,80600.0,gracia,barri,4701.0,2757.0,-0.0994,18.0,0.0463,-0.1499,-0.0243,-0.451,4286.0,8520.0,-0.0267,16.0,0.0452,-0.0908,0.0732,4.1878,3913.0,7505.0,-0.0748,15.0,0.0469,0.0359,0.4847,6.9197,1.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,4.0,3.2,1369.0,0.29,4.0,954.0,249153.0
https://www.idealista.com/inmueble/102609977/,piso,"calle del gaia, la marina del port, barcelona",,97300.0,2.0,61.0,"['2 hab.', '61 m²', ' sin ascensor']","vivienda en la calle gaia, de barcelona, montana de montjuic. tiene una superficie edificada de sesenta y un metros veintiocho decimetros cuadrados. se compone de varias dependencias y terraza exterior con lavadero. el inmueble ha sido adquirido a traves de un procedimiento judicial (concursal o hipotecario) por el v",,"['terraza', 'lavadero', 'terraza exterior']",,2025-02-03 15:48:02,disponible,la marina de port,0.9714285714285714,80313.0,la marina de port,80300.0,sants montjuic,barri,2577.0,1856.0,0.0189,12.0,0.0581,-0.132,0.0097,-0.138,2472.0,2589.0,-inf,11.0,0.0558,-0.1571,0.0706,3.3343,2354.0,2382.0,-inf,10.0,0.0546,0.2065,0.0439,9.639,1.0,3.0,2.0,4.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,2.7,1595.0,0.62,3.0,732.0,157197.0
