link,type_v,address,town,price,price_old,info,description,tags,agent,created
https://www.idealista.com/inmueble/106410662/,Piso,"calle del Turó de la Trinitat, La Trinitat Vella, Barcelona","calle del Turó de la Trinitat, La Trinitat Vella, Barcelona",77000.0,,"['2 hab.', '50 m²', 'Bajo sin ascensor']","<p class=""ellipsis"">Inmueble sin posesión y sin acceso al interior. Las fotografías del interior y las características del activo, pueden no ajustarse al estado actual. ¿Deseas convertir la casa de tus sueños en una realidad?¡Esta es tu oportunidad!Les ofrecemos en exclusiva este piso exterior en edificio residencial que puedes adqui</p>",,,2025-01-01 12:43:37
https://www.idealista.com/inmueble/106410646/,Piso,"calle de les Agudes, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona","calle de les Agudes, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",78952.0,,"['3 hab.', '81 m²', ' sin ascensor']","<p class=""ellipsis"">Inmueble sin posesión y sin acceso al interior. Las fotografías del interior y las características del activo, pueden no ajustarse al estado actual. ¿Deseas convertir la casa de tus sueños en una realidad?¡Esta es tu oportunidad!Les ofrecemos en exclusiva este piso en edificio residencial que puedes adquirir en pr</p>",,,2025-01-01 12:43:37
https://www.idealista.com/inmueble/106409448/,Piso,"Can Peguera - El Turó de la Peira, Barcelona","Can Peguera - El Turó de la Peira, Barcelona",65000.0,,"['3 hab.', '60 m²', 'Planta 3ª exterior sin ascensor']","<p class=""ellipsis"">Piso okupado ilegalmente.</p>",,,2025-01-01 12:43:37
https://www.idealista.com/inmueble/106399046/,Estudio,"calle de Picalquers, El Raval, Barcelona","calle de Picalquers, El Raval, Barcelona",80000.0,,"['40 m²', 'Planta 4ª interior sin ascensor']","<p class=""ellipsis"">IM2 pone en venta Estudio junto a las Rambla.. . este estudio no dispone de CÉDULA DE HABITABILIDAD!¡No pierdas la oportunidad de adquirir este acogedor estudio en venta en la calle Picalquer! Con una ubicación privilegiada cerca de la calle Carmen y la rambla, este inmueble de 30 m² construidos en la cuarta planta d</p>",,,2025-01-01 12:43:37
https://www.idealista.com/inmueble/106392765/,Piso,"La Trinitat Nova, Barcelona","La Trinitat Nova, Barcelona",66660.0,,"['2 hab.', '50 m²', 'Planta 1ª exterior sin ascensor']","<p class=""ellipsis"">¡oportunidad para inversores!actualmente la vivienda se encuentra ocupada ilegalmente.importante: la propiedad no garantiza la disponibilidad de acceso a la finca, pudiendo estar ocupada por tercero. Además hay que disponer de fondos propios o disponer de una garantia adicional para conseguir financiación.</p>",,,2025-01-01 12:43:37
https://www.idealista.com/inmueble/106263007/,Piso,"calle de les Agudes, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona","calle de les Agudes, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",78951.0,,"['3 hab.', '75 m²', 'Bajo exterior sin ascensor']","<p class=""ellipsis"">INMUEBLE SIN POSESION / VIVIENDA OKUPADA!**SOLO PARA INVERSORES****SIN COMISIONES DE AGENCIA INMOBILIARIA**Imposibilidad de visita interior, NO SE PUEDE FINANCIAR la compra de este inmueble.Las fotografías pueden no corresponderse con el estado actual del inmueble.Al tratarse de una compraventa en escritura pú</p>",,,2025-01-01 12:43:37
https://www.idealista.com/inmueble/106262930/,Piso,"calle del Pedraforca, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona","calle del Pedraforca, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",70000.0,97619.0,"['3 hab.', '60 m²', 'Planta 2ª exterior con ascensor']","<p class=""ellipsis"">INMUEBLE SIN POSESION / VIVIENDA OKUPADA!**SOLO PARA INVERSORES****SIN COMISIONES DE AGENCIA INMOBILIARIA**Imposibilidad de visita interior, NO SE PUEDE FINANCIAR la compra de este inmueble.Las fotografías pueden no corresponderse con el estado actual del inmueble.Al tratarse de una compraventa en escritura pú</p>",,,2025-01-01 12:43:37
https://www.idealista.com/inmueble/106336699/,Piso,"calle l&#039;Aviador Ruiz de Alda, La Marina del Port, Barcelona","calle l&#039;Aviador Ruiz de Alda, La Marina del Port, Barcelona",77000.0,,"['1 hab.', '29 m²', ' exterior sin ascensor']","<p class=""ellipsis"">INMUEBLE ILEGALMENTE OKUPADOSITUADO EN LA CALLE AVIADOR RUIZ DE ALDA 5, 2º1º, BARCELONA, BARCELONANo se puede visitar, no se puede tasar ni se puede hipotecar. Se tiene que comprar pagando al contado y el comprador asume la tarea de la desocupación.</p>",,,2025-01-01 12:43:37
https://www.idealista.com/inmueble/106301042/,Piso,"calle de la Reina Amàlia, El Raval, Barcelona","calle de la Reina Amàlia, El Raval, Barcelona",89000.0,,"['2 hab.', '59 m²', 'Entreplanta interior sin ascensor']","<p class=""ellipsis"">¡Atención inversores! Presentamos una oportunidad única en el vibrante barrio del Raval. Este piso, ideal para aquellos que buscan un proyecto de reforma, cuenta con una excelente ubicación que te permitirá disfrutar de todo lo que ofrece la ciudad. Con 59 m² construidos, se distribuye en dos dormitorios, un baño y una</p>",,,2025-01-01 12:43:37
https://www.idealista.com/inmueble/106300581/,Estudio,"calle de Pau Alsina, El Camp d&#039;En Grassot i Gràcia Nova, Barcelona","calle de Pau Alsina, El Camp d&#039;En Grassot i Gràcia Nova, Barcelona",99000.0,,"['32 m²', 'Bajo exterior con ascensor']","<p class=""ellipsis"">Blaunex. - Ofrece este exclusivo ESTUDIO. Situado en calle Pau Alsina. Gràcia Nova.Alta rentabilidad como inversión. Dispone de 30m2 según catastro, se distribuye actualmente en estancia diáfana con habitación y cocina equipada, baño independiente. El estado es completamente reformado. Con entrada por la finca.Muy</p>",,,2025-01-01 12:43:37
