created,link,type_v,address,town,price,rooms,surface,price_old,info,description,tags,agent
2025-01-18 19:41:43,https://www.idealista.com/inmueble/107026001/,Piso,"calle de les Carretes, El Raval, Barcelona","calle de les Carretes, El Raval, Barcelona",97700,2.0,50.0,,"['2 hab.', '50 m²', 'Planta 4ª sin ascensor']","Piso a la venta, situado en Barcelona capital. Esta vivienda de segunda mano consta de una superficie de 50 m². Está distribuida en 2 dormitorios, un baño, salón comedor y cocina. Dispone de buenas comunicaciones tanto por transporte público como por transporte privado. Situada en zona con todo tipo de servicios alrede",,
2025-01-18 19:41:43,https://www.idealista.com/inmueble/107017649/,Piso,"calle d&#039;Oristany, El Besòs, Barcelona","calle d&#039;Oristany, El Besòs, Barcelona",95000,2.0,57.0,,"['2 hab.', '57 m²', ' exterior sin ascensor']","Este piso en venta, situado en el barrio de Sant Martí, ofrece una excelente oportunidad para aquellos que busquen una propiedad para reformar y personalizar a su gusto. Con una distribución actual de dos habitaciones, el piso cuenta con paredes de tabique que permiten una gran flexibilidad en cuanto a redistribución d",,
2025-01-18 19:41:43,https://www.idealista.com/inmueble/107014526/,Piso,"calle d&#039;Amílcar, 76, La Font d&#039;En Fargues, Barcelona","calle d&#039;Amílcar, 76, La Font d&#039;En Fargues, Barcelona",95000,1.0,25.0,100000.0,"['1 hab.', '25 m²', 'Bajo exterior sin ascensor']","Increíble ESTUDIO ESCRITURADO COMO VIVIENDA SIN CÉDULA DE HABITABILIDAD en VENTA totalmente REFORMADO A ESTRENAR de 35m² aprox. El estudio se compone de 1 habitación doble tipo LOFT, una cocina americana totalmente equipada, 1 baño completo, una pequeña galería. Suelos de gres porcelánico simulación parket. Carpintería",,
2025-01-18 19:41:43,https://www.idealista.com/inmueble/107014212/,Piso,"calle del Montsant, Can Peguera - El Turó de la Peira, Barcelona","calle del Montsant, Can Peguera - El Turó de la Peira, Barcelona",92000,3.0,58.0,,"['3 hab.', '58 m²', 'Sótano sin ascensor']","Piso de 58 m² en venta, situado en Barcelona. Construida en 1955, la vivienda cuenta con una superficie de 58 m² y está distribuido en salón-comedor, cocina, 3 dormitorios y 1 baño. La vivienda está comunicada mediante autobuses con las líneas 122, 47, 182, D40, D50 y N1 entre otras, próxima a la estación de metro y a",,
2025-01-18 19:41:43,https://www.idealista.com/inmueble/105810493/,Piso,"calle de Catània, El Besòs, Barcelona","calle de Catània, El Besòs, Barcelona",87000,2.0,51.0,,"['2 hab.', '51 m²', 'Bajo exterior sin ascensor']",EXCLUSIVO INVERSORES***CONTACTO POR WHATSAPP***Agente: AnaWhatsapp: 6 9 1 4 9 2 4 8 3Oportunidad de Inversión en el Distrito de Sant Martí.La vivienda se encuentra en perfecto estado a excepción de una de las habitaciones a la que se le ha de realizar una reparación y por eso el ajuste tan a la baja en el precio,,
2025-01-18 19:41:43,https://www.idealista.com/inmueble/107012975/,Piso,"calle de la Riera Baixa, El Raval, Barcelona","calle de la Riera Baixa, El Raval, Barcelona",90000,1.0,30.0,,"['1 hab.', '30 m²', 'Planta 1ª interior sin ascensor']","Presentamos oportunidad de piso ideal para perfiles inversores, actualmente alquilado por 500€ hasta 2027, en pleno corazón del barrio El Raval, cuenta con 30mts² construidos, 1 dormitorios, un cuarto de baño, salón y cocina tipo office. Finca del año 1850. Es un primero real de altura con carpintería de aluminio y sue",Alquilada,
2025-01-18 19:41:43,https://www.idealista.com/inmueble/106996402/,Piso,"calle d&#039;Andrade, 210, La Verneda i la Pau, Barcelona","calle d&#039;Andrade, 210, La Verneda i la Pau, Barcelona",95000,1.0,30.0,,"['1 hab.', '30 m²', 'Bajo exterior sin ascensor']","30 metros, amueblado y equipado.",,
2025-01-18 19:41:43,https://www.idealista.com/inmueble/106988638/,Estudio,"calle de Catània, El Besòs, Barcelona","calle de Catània, El Besòs, Barcelona",82000,,48.0,,"['48 m²', 'Planta 2ª ']","¡Oportunidad para comprar tu Piso! Situado en CALLE CATANIA BARCELONA, se encuentra este activo inmobiliario de tipo piso, con una superficie construida de 47.5 metros cuadrados. ¡Es el momento perfecto para adquirir tu nueva propiedad en Barcelona! Si lo deseas, puedes solicitar un recorrido virtual o una visita en pe",,
2025-01-18 19:41:43,https://www.idealista.com/inmueble/106988512/,Piso,"calle de Sant Iscle, Can Peguera - El Turó de la Peira, Barcelona","calle de Sant Iscle, Can Peguera - El Turó de la Peira, Barcelona",94000,2.0,59.0,,"['2 hab.', '59 m²', ' sin ascensor']","Descubre este acogedor piso de segunda mano en el corazón de Barcelona, con una superficie útil de 59 m². La propiedad cuenta con dos dormitorios luminosos y un baño completo, lo que la convierte en una excelente opción tanto para parejas como para pequeñas familias. Además, dispone de aire acondicionado, garantizando",,
2025-01-18 19:41:43,https://www.idealista.com/inmueble/102129938/,Piso,"calle de Santa Rosalia, 47, La Teixonera, Barcelona","calle de Santa Rosalia, 47, La Teixonera, Barcelona",89000,2.0,117.0,,"['2 hab.', '117 m²', 'Bajo exterior sin ascensor']","A REFORMAR! FOTOS SON PROYECTO, MIRAR VIDEO! nunca podra tener la CED. ULA, ideal para hacer un estudio, planta de arriba estudio y abajo tu negocio o al reves! zona tranquila, no incluye impuestos, notaria, registro y honorarios de agencia. a tan solo 5 minutos del metro de coll de la teixonera.",,
